LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.386, Time: 3.374729 s
         2814606 function calls (2802476 primitive calls) in 4.714 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 __init__.py:1810(_str_lower_equal)
       12    0.000    0.000    0.001    0.000 __init__.py:1821(_define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
       82    0.000    0.000    0.000    0.000 __init__.py:1842(make_alias)
       12    0.000    0.000    0.000    0.000 __init__.py:1862(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1863(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.003    0.003 __init__.py:189(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1906(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:191(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1928(XView)
       28    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        5    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 __init__.py:1949(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1970(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:2058(_OrderedSet)
       26    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        5    0.000    0.000    0.000    0.000 __init__.py:214(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2179(_backend_module_name)
       36    0.000    0.000    0.000    0.000 __init__.py:218(__getattr__)
       31    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:221(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:2256(_make_class_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2274(Tk)
        1    0.000    0.000    0.013    0.013 __init__.py:2275(class_factory)
       31    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:2285(subcls)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2404(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2450(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        6    0.000    0.000    0.000    0.000 __init__.py:250(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:2501(Grid)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2556(BaseWidget)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:2619(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2627(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2657(Button)
      104    0.000    0.000    0.000    0.000 __init__.py:269(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:27(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:2704(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:273(<dictcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:284(ExecutableNotFoundError)
        1    0.000    0.000    0.001    0.001 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:3016(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3060(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:3146(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:3166(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3190(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:322(silent_list)
       31    0.003    0.000    0.006    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:3306(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3436(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3443(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:345(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:3450(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3483(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:3522(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:3572(Text)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3976(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3990(OptionMenu)
      154    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:4029(Image)
        1    0.000    0.000    0.000    0.000 __init__.py:4095(PhotoImage)
        1    0.000    0.000    0.005    0.005 __init__.py:412(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:4179(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:4199(Spinbox)
        3    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:4377(LabelFrame)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:4401(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:443(_get_xdg_config_dir)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:453(_get_xdg_cache_dir)
        2    0.000    0.000    0.003    0.001 __init__.py:46(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 __init__.py:4616(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:462(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:494(get_configdir)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:512(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:513(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:524(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:526(StringVar)
        1    0.000    0.000    0.001    0.001 __init__.py:534(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:543(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:550(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:555(gen_candidates)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        8    0.000    0.000    0.000    0.000 __init__.py:56(fget)
        1    0.000    0.000    0.000    0.000 __init__.py:563(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:575(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:596(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:602(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:61(ProjectionRegistry)
       32    0.000    0.000    0.001    0.000 __init__.py:624(__init__)
     1264    0.001    0.000    0.012    0.000 __init__.py:627(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:64(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Misc)
       12    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
      476    0.000    0.000    0.001    0.000 __init__.py:657(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:67(_256Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:67(register)
      307    0.000    0.000    0.000    0.000 __init__.py:692(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:70(_128Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:702(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:716(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:717(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:73(_96Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:74(UnidentifiedImageError)
       60    0.000    0.000    0.001    0.000 __init__.py:742(_open_file_or_url)
        1    0.000    0.000    0.000    0.000 __init__.py:744(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:76(_80Bit)
     1843    0.000    0.000    0.000    0.000 __init__.py:763(<lambda>)
       30    0.003    0.000    0.018    0.001 __init__.py:763(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:77(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:781(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:783(Grouper)
       27    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:79(_64Bit)
       36    0.000    0.000    0.000    0.000 __init__.py:80(<genexpr>)
        4    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:818(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:82(_32Bit)
       28    0.000    0.000    0.013    0.000 __init__.py:841(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:85(_16Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
