LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.284, Time: 1.808470 s
         4125652 function calls (4056072 primitive calls) in 4.559 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      211    0.001    0.000    0.030    0.000 values.py:1131(<listcomp>)
      226    0.001    0.000    0.030    0.000 npydecl.py:202(generic)
       44    0.007    0.000    0.030    0.001 castgraph.py:92(propagate)
      162    0.000    0.000    0.030    0.000 __init__.py:2783(_get_version)
        1    0.000    0.000    0.030    0.030 _axes.py:46(Axes)
        1    0.000    0.000    0.030    0.030 nrt.py:19(initialize)
      178    0.001    0.000    0.030    0.000 overload_glue.py:128(_build)
      162    0.001    0.000    0.030    0.000 __init__.py:2561(_version_from_file)
        1    0.000    0.000    0.029    0.029 randomdecl.py:1(<module>)
        3    0.000    0.000    0.029    0.010 untyped_passes.py:79(run_pass)
        3    0.000    0.000    0.029    0.010 interpreter.py:336(interpret)
        1    0.000    0.000    0.029    0.029 pyplot.py:267(backend_mod)
      234    0.002    0.000    0.029    0.000 npydecl.py:98(generic)
        1    0.000    0.000    0.029    0.029 arraymath.py:36(_check_blas)
        1    0.000    0.000    0.029    0.029 linalg.py:54(ensure_blas)
        1    0.000    0.000    0.029    0.029 axis3d.py:1(<module>)
        1    0.000    0.000    0.029    0.029 nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.029    0.029 backend_tkagg.py:1(<module>)
   296564    0.029    0.000    0.029    0.000 {method 'lstrip' of 'str' objects}
     7558    0.028    0.000    0.028    0.000 {built-in method __new__ of type object at 0x55a75890a9a0}
      541    0.025    0.000    0.028    0.000 sre_compile.py:292(_optimize_charset)
      254    0.001    0.000    0.027    0.000 __init__.py:2035(_by_version)
     1959    0.004    0.000    0.027    0.000 values.py:544(_to_string)
49507/49466    0.018    0.000    0.026    0.000 {method 'join' of 'str' objects}
      124    0.000    0.000    0.026    0.000 __init__.py:3292(<genexpr>)
        1    0.000    0.000    0.026    0.026 quiver.py:1(<module>)
      123    0.000    0.000    0.026    0.000 __init__.py:2789(activate)
        1    0.000    0.000    0.025    0.025 charseq.py:1(<module>)
        2    0.000    0.000    0.025    0.013 parser.py:1(<module>)
        1    0.000    0.000    0.025    0.025 ir_utils.py:1(<module>)
        1    0.000    0.000    0.025    0.025 text.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _backend_tk.py:1(<module>)
      254    0.001    0.000    0.025    0.000 __init__.py:2041(<listcomp>)
       89    0.000    0.000    0.025    0.000 overload_glue.py:240(glue_typing)
      276    0.000    0.000    0.025    0.000 overload_glue.py:197(__call__)
    58/50    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.025    0.025 requirements.py:1(<module>)
       89    0.000    0.000    0.024    0.000 overload_glue.py:18(__init__)
        1    0.000    0.000    0.024    0.024 lines.py:1(<module>)
    58/50    0.010    0.000    0.024    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.024    0.024 callconv.py:1(<module>)
36138/35946    0.010    0.000    0.024    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.024    0.024 feedparser.py:1(<module>)
   139664    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
    24635    0.013    0.000    0.024    0.000 enum.py:359(__call__)
     1016    0.002    0.000    0.024    0.000 __init__.py:2026(try_parse)
        3    0.000    0.000    0.024    0.008 untyped_passes.py:192(run_pass)
2214/2209    0.004    0.000    0.024    0.000 abstract.py:60(__call__)
        3    0.000    0.000    0.024    0.008 base.py:1(<module>)
      720    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.023    0.023 textpath.py:1(<module>)
     2896    0.001    0.000    0.022    0.000 ir.py:594(list_vars)
    11291    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
    41383    0.022    0.000    0.022    0.000 {method 'split' of 'str' objects}
        5    0.000    0.000    0.022    0.004 utils.py:1(<module>)
      216    0.012    0.000    0.022    0.000 artist.py:1358(<listcomp>)
        1    0.000    0.000    0.022    0.022 category.py:1(<module>)
        1    0.000    0.000    0.022    0.022 py3k.py:1(<module>)
      184    0.000    0.000    0.021    0.000 entrypoints.py:10(init_all)
        3    0.000    0.000    0.021    0.007 untyped_passes.py:1694(run_pass)
        1    0.000    0.000    0.021    0.021 dispatcher.py:281(_compilation_chain_init_hook)
      340    0.021    0.000    0.021    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.021    0.021 __init__.py:643(<genexpr>)
        1    0.000    0.000    0.021    0.021 _pickle.py:1(<module>)
       14    0.000    0.000    0.021    0.001 __init__.py:2116(safe_listdir)
     8941    0.012    0.000    0.021    0.000 inspect.py:612(unwrap)
      123    0.001    0.000    0.021    0.000 __init__.py:2863(get_entry_map)
        1    0.000    0.000    0.021    0.021 specifiers.py:1(<module>)
        1    0.000    0.000    0.021    0.021 unicode.py:1(<module>)
       24    0.000    0.000    0.021    0.001 castgraph.py:131(unsafe)
        1    0.000    0.000    0.021    0.021 _policybase.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _parser.py:1(<module>)
        3    0.000    0.000    0.020    0.007 untyped_passes.py:228(run_pass)
      123    0.001    0.000    0.020    0.000 __init__.py:2541(parse_map)
        1    0.000    0.000    0.020    0.020 Image.py:1(<module>)
    32068    0.020    0.000    0.020    0.000 {method 'expandtabs' of 'str' objects}
       30    0.003    0.000    0.019    0.001 __init__.py:763(_rc_params_in_file)
        1    0.000    0.000    0.019    0.019 reader.py:1(<module>)
25392/24594    0.011    0.000    0.019    0.000 abstract.py:117(__hash__)
        1    0.000    0.000    0.019    0.019 reader.py:45(Reader)
        3    0.000    0.000    0.019    0.006 typed_passes.py:219(run_pass)
      139    0.000    0.000    0.019    0.000 templates.py:481(apply)
     8803    0.013    0.000    0.018    0.000 inspect.py:66(get_annotations)
      143    0.000    0.000    0.018    0.000 templates.py:272(_select)
      294    0.002    0.000    0.018    0.000 sre_compile.py:560(_compile_info)
        8    0.000    0.000    0.018    0.002 codegen.py:733(add_llvm_module)
      238    0.005    0.000    0.018    0.000 numpy_support.py:357(ufunc_find_matching_loop)
    16462    0.005    0.000    0.018    0.000 templates.py:1307(new_registrations)
      143    0.003    0.000    0.018    0.000 context.py:592(resolve_overload)
      416    0.001    0.000    0.018    0.000 __init__.py:1317(safe_version)
        2    0.000    0.000    0.018    0.009 extending.py:1(<module>)
       66    0.001    0.000    0.018    0.000 __init__.py:2199(_handle_ns)
     5835    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1464    0.003    0.000    0.017    0.000 base.py:360(install_registry)
     2184    0.006    0.000    0.017    0.000 inspect.py:663(_finddoc)
        2    0.000    0.000    0.017    0.009 callwrapper.py:102(build)
      815    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
     1270    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      439    0.017    0.000    0.017    0.000 {built-in method builtins.dir}
        8    0.001    0.000    0.017    0.002 codegen.py:652(_optimize_functions)
    55771    0.010    0.000    0.017    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.017    0.008 callwrapper.py:127(build_wrapper)
     1004    0.002    0.000    0.016    0.000 functools.py:884(wrapper)
        1    0.000    0.000    0.016    0.016 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.016    0.016 index_tricks.py:1(<module>)
        3    0.000    0.000    0.016    0.005 core.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pythonapi.py:1(<module>)
     2072    0.002    0.000    0.015    0.000 ffi.py:73(__exit__)
    61/59    0.000    0.000    0.015    0.000 __init__.py:10(__getattr__)
        3    0.000    0.000    0.015    0.005 ssa.py:26(reconstruct_ssa)
      180    0.000    0.000    0.015    0.000 __init__.py:1421(get_metadata_lines)
        3    0.000    0.000    0.015    0.005 ssa.py:47(_run_ssa)
        8    0.000    0.000    0.015    0.002 lowering.py:760(lower_getitem)
        3    0.000    0.000    0.015    0.005 __init__.py:51(create_module)
        3    0.000    0.000    0.015    0.005 __init__.py:29(load_module)
1931/1742    0.001    0.000    0.015    0.000 contextlib.py:130(__enter__)
        4    0.000    0.000    0.015    0.004 version.py:1(<module>)
        1    0.000    0.000    0.014    0.014 platform.py:1(<module>)
        1    0.001    0.001    0.014    0.014 mathtext.py:1(<module>)
      386    0.001    0.000    0.014    0.000 __init__.py:1401(has_metadata)
        1    0.000    0.000    0.014    0.014 secrets.py:1(<module>)
     1881    0.005    0.000    0.014    0.000 instructions.py:13(__init__)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
      566    0.001    0.000    0.014    0.000 __init__.py:1398(_get_metadata_path)
    16811    0.006    0.000    0.014    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.014    0.014 table.py:1(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:132(_ensure_critical_deps)
     2072    0.002    0.000    0.014    0.000 ffi.py:67(__enter__)
      567    0.002    0.000    0.013    0.000 __init__.py:1477(_fn)
        1    0.000    0.000    0.013    0.013 _secondary_axes.py:1(<module>)
     1264    0.001    0.000    0.013    0.000 __init__.py:627(__setitem__)
        9    0.000    0.000    0.013    0.001 typeconv.py:103(safe_unsafe)
        1    0.000    0.000    0.013    0.013 _sketches.py:1(<module>)
        2    0.000    0.000    0.013    0.007 core.py:193(read_style_directory)
     1204    0.004    0.000    0.013    0.000 context.py:542(_rate_arguments)
        1    0.000    0.000    0.013    0.013 parfor_lowering.py:1(<module>)
      254    0.001    0.000    0.013    0.000 __init__.py:2578(__init__)
3557/3052    0.004    0.000    0.013    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2069    0.001    0.000    0.013    0.000 base.py:1260(exit_fn)
        1    0.000    0.000    0.013    0.013 __init__.py:2275(class_factory)
       84    0.006    0.000    0.013    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.013    0.013 shutil.py:1(<module>)
     1328    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:391(cached)
     2152    0.003    0.000    0.013    0.000 event.py:388(end_event)
     4304    0.003    0.000    0.013    0.000 event.py:193(broadcast)
        3    0.000    0.000    0.013    0.004 inline_closurecall.py:82(run)
       28    0.000    0.000    0.013    0.000 __init__.py:841(rc_params_from_file)
       92    0.001    0.000    0.012    0.000 __init__.py:1342(_preprocess_data)
