LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.290, Time: 0.822737 s
         7611040 function calls (7348788 primitive calls) in 6.810 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.064    0.064 stencil.py:1(<module>)
      127    0.001    0.000    0.063    0.000 docstring.py:36(__call__)
 1001/304    0.025    0.000    0.062    0.000 sre_parse.py:494(_parse)
  115/105    0.000    0.000    0.062    0.001 docstring.py:83(__call__)
        2    0.000    0.000    0.061    0.030 arrayobj.py:3777(numpy_zeros_nd)
       13    0.000    0.000    0.061    0.005 docstring.py:55(__missing__)
      337    0.002    0.000    0.061    0.000 context.py:700(load_additional_registries)
        1    0.000    0.000    0.060    0.060 legend.py:1(<module>)
3370/1670    0.006    0.000    0.060    0.000 context.py:428(install_registry)
        1    0.000    0.000    0.059    0.059 geo.py:1(<module>)
  342/340    0.001    0.000    0.058    0.000 __init__.py:108(import_module)
  342/340    0.000    0.000    0.057    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
15948/14187    0.013    0.000    0.056    0.000 {built-in method builtins.sorted}
78181/77856    0.025    0.000    0.055    0.000 {method 'join' of 'str' objects}
  337/167    0.001    0.000    0.055    0.000 context.py:415(_load_builtins)
        2    0.000    0.000    0.054    0.027 _base.py:1(<module>)
      218    0.002    0.000    0.054    0.000 module.py:11(parse_assembly)
        1    0.000    0.000    0.054    0.054 offsetbox.py:1(<module>)
    25011    0.030    0.000    0.053    0.000 inspect.py:2637(__init__)
       33    0.000    0.000    0.052    0.002 ssa.py:26(reconstruct_ssa)
       33    0.000    0.000    0.052    0.002 ssa.py:47(_run_ssa)
      295    0.001    0.000    0.052    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.050    0.050 colors.py:1(<module>)
        2    0.001    0.000    0.049    0.024 pyparsing.py:1(<module>)
  442/359    0.002    0.000    0.048    0.000 base.py:540(get_function)
      812    0.002    0.000    0.047    0.000 lowering.py:1413(storevar)
2475/2210    0.002    0.000    0.047    0.000 ir_utils.py:1525(guard)
612434/607359    0.045    0.000    0.047    0.000 {built-in method builtins.len}
      209    0.002    0.000    0.047    0.000 cgutils.py:99(__init__)
      389    0.000    0.000    0.046    0.000 templates.py:481(apply)
        1    0.000    0.000    0.046    0.046 special.py:1(<module>)
      401    0.001    0.000    0.046    0.000 templates.py:272(_select)
       63    0.000    0.000    0.046    0.001 decorators.py:189(wrapper)
        4    0.000    0.000    0.045    0.011 context.py:1(<module>)
       34    0.000    0.000    0.045    0.001 codegen.py:1394(_add_module)
       63    0.001    0.000    0.045    0.001 dispatcher.py:807(__init__)
       34    0.000    0.000    0.045    0.001 codegen.py:1095(add_module)
      162    0.000    0.000    0.045    0.000 ir.py:1473(infer_constant)
        3    0.000    0.000    0.045    0.015 registry.py:1(<module>)
36227/36062    0.021    0.000    0.045    0.000 _utils.py:54(get_reference)
      401    0.008    0.000    0.045    0.000 context.py:592(resolve_overload)
  240/162    0.001    0.000    0.045    0.000 consts.py:24(infer_constant)
       71    0.001    0.000    0.045    0.001 callconv.py:547(call_function)
45538/38876    0.025    0.000    0.044    0.000 abstract.py:117(__hash__)
  218/149    0.001    0.000    0.044    0.000 consts.py:56(_do_infer)
        1    0.000    0.000    0.044    0.044 dispatcher.py:1(<module>)
       34    0.001    0.000    0.044    0.001 config.py:90(update)
        1    0.000    0.000    0.044    0.044 fontconfig_pattern.py:1(<module>)
       34    0.000    0.000    0.043    0.001 codegen.py:1088(_load_defined_symbols)
3139/3110    0.006    0.000    0.043    0.000 abstract.py:60(__call__)
       58    0.000    0.000    0.043    0.001 decorators.py:26(jit)
       33    0.000    0.000    0.042    0.001 config.py:499(reload_config)
      188    0.001    0.000    0.042    0.000 templates.py:907(_get_target_registry)
        1    0.000    0.000    0.042    0.042 compiler.py:1(<module>)
     5185    0.003    0.000    0.042    0.000 re.py:197(search)
       33    0.004    0.000    0.041    0.001 byteflow.py:78(run)
      582    0.004    0.000    0.041    0.000 cgutils.py:362(alloca_once)
      850    0.002    0.000    0.041    0.000 errors.py:508(__init__)
      575    0.013    0.000    0.041    0.000 numpy_support.py:357(ufunc_find_matching_loop)
      170    0.000    0.000    0.041    0.000 templates.py:1051(__init__)
        1    0.000    0.000    0.041    0.041 arrayobj.py:1858(array_ravel)
      508    0.002    0.000    0.041    0.000 __init__.py:2132(distributions_from_metadata)
     2112    0.003    0.000    0.041    0.000 value.py:143(name)
      440    0.001    0.000    0.041    0.000 passmanagers.py:232(run)
       68    0.001    0.000    0.040    0.001 codegen.py:1092(<setcomp>)
      166    0.001    0.000    0.040    0.000 templates.py:1097(_init_once)
      166    0.000    0.000    0.040    0.000 errors.py:670(__init__)
        2    0.000    0.000    0.040    0.020 builtins.py:1(<module>)
        1    0.000    0.000    0.040    0.040 axis.py:1(<module>)
      912    0.003    0.000    0.039    0.000 context.py:374(resolve_value_type)
      423    0.001    0.000    0.039    0.000 genericpath.py:16(exists)
     1058    0.003    0.000    0.039    0.000 interpreter.py:668(_dispatch)
        1    0.000    0.000    0.039    0.039 polar.py:1(<module>)
      109    0.002    0.000    0.039    0.000 ir.py:111(strformat)
       81    0.000    0.000    0.038    0.000 ir.py:597(infer_constant)
       34    0.000    0.000    0.038    0.001 codegen.py:1297(_scan_and_fix_unresolved_refs)
      271    0.000    0.000    0.038    0.000 registry.py:38(target_context)
        1    0.000    0.000    0.038    0.038 multiarray.py:1(<module>)
        1    0.000    0.000    0.037    0.037 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.037    0.037 cpu.py:40(__init__)
        1    0.000    0.000    0.037    0.037 base.py:233(__init__)
       33    0.000    0.000    0.037    0.001 typed_passes.py:461(run_pass)
       33    0.000    0.000    0.037    0.001 ir_utils.py:2218(check_and_legalize_ir)
7807/7703    0.005    0.000    0.037    0.000 manager.py:22(lookup)
        3    0.000    0.000    0.037    0.012 lowering.py:296(create_cpython_wrapper)
        3    0.000    0.000    0.037    0.012 cpu.py:175(create_cpython_wrapper)
7108/7101    0.003    0.000    0.037    0.000 manager.py:33(__getitem__)
       33    0.000    0.000    0.036    0.001 typeinfer.py:1036(build_constraint)
     1941    0.003    0.000    0.036    0.000 module.py:244(_next)
      946    0.001    0.000    0.036    0.000 typeinfer.py:1384(constrain_statement)
     2085    0.003    0.000    0.035    0.000 abc.py:105(__new__)
       33    0.001    0.000    0.035    0.001 lowering.py:30(__init__)
 1914/295    0.011    0.000    0.035    0.000 sre_compile.py:87(_compile)
      833    0.003    0.000    0.035    0.000 extending.py:127(decorate)
        1    0.000    0.000    0.035    0.035 overrides.py:1(<module>)
       14    0.000    0.000    0.035    0.002 __init__.py:2011(_by_version_descending)
        1    0.000    0.000    0.034    0.034 cpu.py:47(init)
       33    0.000    0.000    0.034    0.001 untyped_passes.py:118(run_pass)
      792    0.002    0.000    0.034    0.000 typeinfer.py:1451(typeof_assign)
        1    0.000    0.000    0.034    0.034 rules.py:1(<module>)
       20    0.000    0.000    0.034    0.002 imputils.py:192(imp)
    58/57    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.034    0.034 pyplot.py:206(switch_backend)
    45712    0.012    0.000    0.034    0.000 abc.py:117(__instancecheck__)
    58/57    0.033    0.001    0.034    0.001 {built-in method _imp.create_dynamic}
      297    0.001    0.000    0.034    0.000 postproc.py:45(livemap)
        1    0.000    0.000    0.034    0.034 rules.py:15(_init_casting_rules)
      254    0.002    0.000    0.034    0.000 __init__.py:2591(from_location)
       44    0.000    0.000    0.033    0.001 castgraph.py:119(insert_rule)
        1    0.000    0.000    0.033    0.033 image.py:1(<module>)
    25857    0.008    0.000    0.033    0.000 templates.py:1307(new_registrations)
     9379    0.021    0.000    0.033    0.000 inspect.py:2920(__init__)
      703    0.033    0.000    0.033    0.000 ir.py:1239(prepend)
     3098    0.009    0.000    0.033    0.000 context.py:542(_rate_arguments)
     1991    0.011    0.000    0.033    0.000 utils.py:311(order_by_target_specificity)
       44    0.007    0.000    0.033    0.001 castgraph.py:92(propagate)
   201695    0.032    0.000    0.033    0.000 {built-in method builtins.min}
56764/56572    0.014    0.000    0.033    0.000 {built-in method builtins.hasattr}
     1715    0.003    0.000    0.032    0.000 value.py:206(is_declaration)
      297    0.001    0.000    0.032    0.000 analysis.py:60(compute_live_map)
      316    0.001    0.000    0.032    0.000 overrides.py:183(decorator)
      701    0.002    0.000    0.032    0.000 context.py:263(resolve_getattr)
   110833    0.018    0.000    0.032    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.032    0.032 charseq.py:1(<module>)
     9438    0.010    0.000    0.032    0.000 weakref.py:415(__getitem__)
     1590    0.001    0.000    0.032    0.000 targetconfig.py:196(values)
    26660    0.015    0.000    0.032    0.000 event.py:84(__init__)
      792    0.008    0.000    0.031    0.000 analysis.py:235(compute_cfg_from_blocks)
